0,1,http,https,#,@,len,negative_weight,positive_weight,neutral_weight
positive,@Dennse krasse Mädchenfarben 😜,0,0,0,1,4,0,4,0
negative,"@denocte ja, leider teuer - aber ich mag halt nicht fliegen",0,0,0,1,11,11,9,10
negative,@der_derbe_b OMFG BITTE NICHT! Noch mehr Infinite Crisis hätte meine inneren Katzenbabys getötet. ..und zwar ALLE!!,0,0,0,1,16,16,6,5
neutral,@Der_Kalle wollte man aber nicht. setzt mal jemand in die erste Reihe,0,0,0,1,12,9,9,12
negative,@der_Karl @wunderfitzig Warum wollt ihr alle keinen Sommer mehr haben? o_O,0,0,0,2,11,11,7,7
negative,@Der_Mann Ja ich glaub dein job is z.T. auch etwas nerviger als meiner...wenn ich dran denk wie einem Rekruten manchmal aufn sack gehn könn,0,0,0,1,24,24,12,15
neutral,@Der_Mann mal ne Frage an den Löw Carb Experten. Gibts auch Müsli Löw Carb Versionen?,0,0,0,1,15,8,6,15
positive,@Der_Oberlehrer Klasse.,0,0,0,1,2,0,2,0
neutral,@der_romeo bamba muss ein besseres stellungsspiel annehmen. klarer fehler beim 1-1 wenn zambrano rausrückt…,0,0,0,1,14,5,7,14
negative,@DerAltePoet Kreative Idee... Nur sind viele Kronkorken eher silber mit was drauf (zum Beispiel V+)... Schade. =(,0,0,0,1,17,17,7,8
neutral,@DerDavisLP Kleiner!,0,0,0,1,2,0,0,2
positive,@DerHerrMeier und wann sollte ich wo erscheinen? Bzw hat der @Der_Ideealist die Frau nun um Erlaubnis gefragt? ;),0,0,0,2,18,12,18,12
neutral,"@derkutter ja, erinnere mich. Gelte ich jetzt als alt?",0,0,0,1,9,5,5,9
negative,"@derM4nu bissl beruhigen, bei der nächsten Beleidigung a la ""Idiot"" usw. probieren wir die neue Twitter-Funktion aus.",0,0,0,1,17,17,11,9
neutral,@dermitdemhut genial. Du solltest Screenwriter werden. Vergiss aber bitte nicht den Governator als Mr. Freeze!,0,0,0,1,15,7,8,15
positive,@DerNagus lief risch gut;),0,0,0,1,4,1,4,1
positive,@derpkeks mhm okay bei nicht versenden würd ichs dann wohl auch net tun xD,0,0,0,1,14,9,14,10
positive,@DerSee Verrucht? Schönes Wort! :-)),0,0,0,1,5,0,5,1
positive,@DerSee Yay. Da freut sich meine kleine Penne,0,0,0,1,8,4,8,5
positive,"@Dert_FCB Werde ich mir irgendwie auch machen, klar. Aber die Vorfreude ist erstmal dahin. / @AlexDhc",0,0,0,2,16,10,16,12
positive,@derTaddl yo macht mal Album yo ^^ das yo verleiht dem Allen ein gewisses etwas :D,0,0,0,1,16,10,16,11
negative,@DerUebersteiger Ho- Ho- Hochverrat!,0,0,0,1,4,4,0,0
positive,"@derwanner @MarcelFischer jetzt gegen chelsea und dreckszecken spielen wir zu hause, mit unserer unterstützung wird die abwehr nicht wackeln",0,0,0,2,19,11,19,11
negative,@destrinachris weh...,0,0,0,1,2,2,0,0
negative,@DeutschesAlien leider so...,0,0,0,1,3,3,1,2
positive,@DeyDur glaub mir finde gross schöner als klein ^^ Darum sind Models auch immer so gross :').,0,0,0,1,17,11,17,13
neutral,@DFB_Team vorbereitet von?,0,0,0,1,3,0,0,3
neutral,"@dialogic01 nicht mehr ganz jung - hab verpaßt, was frau alles rasieren muß ...",0,0,0,1,14,9,11,14
positive,"@dialogine en Guete! Gsehnd fein uus, chume grad Hunger über!",0,0,0,1,10,1,10,3
negative,@diameer Entsetzlich,0,0,0,1,2,2,0,0
positive,@Diana0380 @kokovonkosmo gute Besserung euch beiden!,0,0,0,2,6,3,6,2
positive,@DianaArnberger @laratretter neue Folgen laufen grade. Hen really breaks bad!,0,0,0,2,10,2,10,3
negative,@dictvm Überwachungsstaat!,0,0,0,1,2,2,0,0
neutral,@die_kathii @Bushido78 warum nicht?,0,0,0,2,4,2,2,4
neutral,"@diebuergerlobby @mehr_demokratie Kalifornien und USA zeigen auch, dass parlamentarische Demokratie an Grenzen kommt, Regeln müssen gut sein",0,0,0,2,17,8,8,17
neutral,@DieNicki_ einsamen?,0,0,0,1,2,0,0,2
neutral,@diesxdas Johnny würde weinen #halligalli,0,0,1,1,5,1,1,5
neutral,@DietzHans: #Islamisten terrorisieren liberale #Assad-Gegner | STERN.DE http://t.co/KxIrOx1mli #Politik #Bundestagswahl@ElShamyAmir,1,1,4,2,10,1,2,10
positive,@DivasMind @virtualmono eine hübsche 20jährige also ;-) Was isn nu eigentlich genau passiert?,0,0,0,2,13,7,13,10
negative,"@DivasMind Ganz schön lange, äh, langsame Leitung :-)",0,0,0,1,8,8,4,6
neutral,@DivasMind Und natürlich gangster of love.,0,0,0,1,6,4,4,6
positive,"@DJanecek weiß nicht so genau...Empfehle Rainald Grebe ""Der Kandidat"": ""ein Vollbart flößt kein Vertrauen ein"" bei Youtube. Großartig!",0,0,0,1,18,5,18,8
positive,@DjKnuXCore Wer hat dir eig. deinen neuen Avatar gemacht? Sieht echt klasse aus!,0,0,0,1,13,9,13,9
positive,@DLeichty you're welcome :),0,0,0,1,4,1,4,1
neutral,@DMWarrior Gibt halt Leute dies mögen. Was die dran oder warum dies mögen - Sollen dies wissen. Man kanns denen nicht vorschreiben.,0,0,0,1,22,12,18,22
neutral,@Doc_Zook @Maria_Berlin Der Arm war schon arg lange so weit oben.,0,0,0,2,11,8,6,11
negative,@DoctorSeni luka wird mich dafür hauen,0,0,0,1,6,6,4,4
negative,@Dodolebt unmöglich isser.,0,0,0,1,3,3,0,0
neutral,"@Doktor_D Patient M.: ""Ich bin skeptisch. Schneider hat keine Bundesliga-Erfahrung. Er kennt aber den Verein. Der Jugend eine Chance geben!""",0,0,0,1,20,10,12,20
positive,@donutchele haha brauch keiner,0,0,0,1,4,3,4,2
positive,@DouniaSlimani Sieht super aus. Ende. 😉,0,0,0,1,6,4,6,5
positive,@DrachenHerz Ihr gehört nicht zum besten Bundesland! Ha!,0,0,0,1,8,4,8,5
neutral,@draconischarm beibe,0,0,0,1,2,0,0,2
neutral,@DreamBrownie ja... ich hab auch das gefühl.. wohl falsch getagt..,0,0,0,1,10,6,6,10
negative,@drevoigt lächerlich...,0,0,0,1,2,2,0,0
positive,@dridde @koexistenz kommt mir merkwürdig bekannt vor :-),0,0,0,2,8,5,8,5
positive,@DrSchlaumixer ach männer eh nicht...ich mach.mir zb immer 1000 gedanken um slip und bh und dann wirds eh schnell ausgezogen v kerl :),0,0,0,1,23,12,23,14
neutral,"@DrSolidian @AlienStrawberry da diese Antwort von dir kam musste ich zweimal lesen, da ich Brüste gelesen habe..",0,0,0,2,17,11,12,17
negative,"@DrWaumiau das geht so nicht. Die Nachrichtensender können doch auch nicht sagen ""ach nö, keine Wettervorhersagen mehr"". Mach schön weiter!",0,0,0,1,20,20,14,15
neutral,@DubaiHeuer @KuroschT @dhuelsermann @DG_1986 1887% zustimmung! #nurderhsv,0,0,1,4,7,0,0,7
negative,@Dudeitsfuentes sick!,0,0,0,1,2,2,0,0
positive,"@Duesenberg_ geil, abends Äpfel essen, morgens besoffen \o/",0,0,0,1,8,3,8,6
neutral,"@Duesenberg_ Hilft Zeit, Arbeit und Geld sicher weiter, wenn man dann auf Twitter gegen Leute rantet. I see the point.",0,0,0,1,20,13,16,20
positive,@dukeofnuts haste wohl ne gute ausstrahlung :'D,0,0,0,1,7,4,7,4
neutral,"@duniaSOCCER: Jerman XI (vs Austria): Neuer; Lahm, Mertesacker, Boateng, Schmelzer; Khedira, Kroos; Müller, Özil, Reus; Klose",0,0,0,1,16,0,7,16
positive,@Dunkelangst Kannte ich noch nicht :-) Hammer :-),0,0,0,1,8,5,8,6
positive,"@Dynamite223 Ja, du etwa nicht? ^_^",0,0,0,1,6,4,6,5
negative,@Ea3321 Frühdienst und leider nicht am WE frei. Schlaf gut,0,0,0,1,10,10,7,8
neutral,@EASPORTSFIFA No Lahm and Götze?,0,0,0,1,5,2,2,5
neutral,@ebernstein801 solid reference,0,0,0,1,3,0,0,3
negative,"@Ebruyoutube ebru, was mach' ich falsch? bei deinem neuen video kommt bei mir wieder kein ton. :(",0,0,0,1,17,17,12,11
positive,@Echelon_Honey Daumen sind gedrückt...und verrückt? Nö. Für mich klingt das ganz normal :),0,0,0,1,13,7,13,8
neutral,@EddyElfenbein SOLD!!,0,0,0,1,2,0,0,2
positive,"@Editha_Tudorfan @CatAndClaudia Okay,das ist ein guter Vorschlag.Leg mich jetzt wieder hin. x x x",0,0,0,2,14,7,14,10
positive,@EditionMarcus natürlich🎾,0,0,0,1,2,0,2,0
positive,@EduardHabsburg ohhhh meine schwächste Disziplin bisher ;)),0,0,0,1,7,2,7,3
positive,@eeemmsteins @mmariahmedina ok:),0,0,0,2,3,0,3,0
positive,"@Egon_Kobald Dafür gibt´s ein großes spanisches ""beso"", versprochen.",0,0,0,1,8,3,8,3
positive,@ehenutte Guten Morgen  ;),0,0,0,1,5,3,5,4
positive,@Eike_Koenig derbe gut!!,0,0,0,1,3,0,3,0
positive,@Einbruch :-D,0,0,0,1,2,0,2,1
neutral,@einfachBen inwiefern Drogen verteilt?,0,0,0,1,4,1,0,4
positive,@EinhornBlub morgen liebe Toni :3,0,0,0,1,5,3,5,3
positive,@EinhornCore Chihihihihi. Chihih. *rot werd* :3 Bei mir's auch alles gut o/ ♥ Hab nur schon Bauchweh wegen Montag D:,0,0,0,1,20,12,20,13
positive,@EinhornScheisse Ich bin Glücklich. :3 Was los Knuffel.? &lt;333,0,0,0,1,9,5,9,5
neutral,@EinNudelauflauf Felsen sind nicht fest. Such dir was festeres.,0,0,0,1,9,4,6,9
positive,@EinNudelauflauf Wunderschön xD,0,0,0,1,3,1,3,2
neutral,@EinsteinXIIA2 syp yg pgang mimin ? =D,0,0,0,1,7,1,2,7
positive,@Eintracht_News Auf gehts Jungs ihr schafft das ;) FORZA SGE!!!,0,0,0,1,10,6,10,7
neutral,@EintrachtBSNews Mit einem Sieg gegen #Schalke passiert etwas Historisches http://t.co/amfjHjVBxL,1,1,1,1,10,6,6,10
positive,"@EisbLume09 okay, akzeptiert:)",0,0,0,1,3,1,3,1
negative,"@eisohr Ich frage mich eher, wer so eine Frage überhaupt stellt?!",0,0,0,1,11,11,7,8
positive,@EkoFreezy du hast deinen GermanDream wahr gemacht abi du bist der King Glückwunsch Platz 1 yes! yes! yes!,0,0,0,1,18,9,18,12
positive,@ElbeChirurg Geburtstag? Allerherzlichste Glückwünsche!!!!,0,0,0,1,4,0,4,0
positive,"@elefantenruesel krass, man. Gratulation, sieht echt gut aus!",0,0,0,1,8,4,8,4
negative,@elektrobier_ Garantiert nicht..,0,0,0,1,3,3,0,1
positive,"@EliasBodem @laurohunstock ich hab meine normale SIM von Aldi Talk in Nano SIM gestanzt, lief alles super !",0,0,0,2,18,11,18,10
negative,@EliRubenstein unbelievable!,0,0,0,1,2,2,0,0
positive,@elisehippie nachooooooos!,0,0,0,1,2,0,2,0
positive,"@Elliwutzi @Salzeder Franz na gut in Deutschland leider viel zu unbekannt/unbeliebt (trotz dieses tollen Namens :P), aber Thees? :O",0,0,0,2,19,9,19,11
neutral,"@elly_san lol wtf wtf wtf o___o Lass' dir von dummen Kindern, die noch nicht mal verstehen was ein ""größter gemeinsamer Nenner"" ist, nicht",0,0,0,1,23,13,12,23
neutral,@eloisecherrett just jealous of my über cool life.,0,0,0,1,8,4,5,8
positive,@ElorieLindir @19kittycat79 Warte ab. ... YT macht keine Gefangenen. ;),0,0,0,2,10,5,10,5
negative,@elvchen *flüstert*: Feigling!,0,0,0,1,3,3,0,0
neutral,@emaryllis Whoops und die lila &amp; blaue Koigu. La la la la la. Ich sollte besser gar nicht erst hingehen.,0,0,0,1,20,12,14,20
positive,@emi_dorau hahahah gute ausrede! :'D,0,0,0,1,5,1,5,2
positive,@emil_goldberg kein Problem: Klappt - Danke :-) Darf man fragen wer die gemacht hat?,0,0,0,1,14,7,14,11
positive,"@Emma09BVB Gute Nacht Angelika, schlaf gut und träume was Schönes! ♡",0,0,0,1,11,5,11,6
neutral,"@emrekaya86 hoffe Istanbul, könnte klappen. Die Presentation spricht leicht für Tokio. But it's politics...",0,0,0,1,14,5,6,14
neutral,@en_tropy Gemeinsame Augenhöhe=Gleiche Startbedingugen (+Ausgleich Handycap). @BauerJelinek @dasGuteF,0,0,0,3,8,0,0,8
neutral,@enchanting_mana evtl. kann der @gromlix noch Verstärkung brauchen?,0,0,0,2,8,3,3,8
neutral,"@enchanting_mana in der S71, ich versuch schnell Martin zu erreichen",0,0,0,1,10,5,7,10
neutral,@EnergienetzHH EE sind aber viel arbeitsintensiver als Dreckschleuderbetrieb. Zählt Klimawandel und Zukunftsperspektiven nichts mehr??,0,0,0,1,14,6,6,14
negative,@Enigma424 @Piratenpartei Das doch super! Und was macht ihr gegen Terror?,0,0,0,2,11,11,8,9
neutral,"@Enigma424 sorry, etwas verunglückter Eindruck! Bei Fragen der Grünen &amp; Piraten fragen halt diese nach. Wir bei unseren Fragen, Linke ebenso",0,0,0,1,21,13,13,21
positive,@EnnoBigBenno Verständlich. :-P,0,0,0,1,3,1,3,0
positive,@enoerlee Süß ^^,0,0,0,1,3,1,3,1
positive,"@Enormous_Penis @WMMAMM \o/ vielleicht schaffen wir's das du einen wegsteckst?! CHALLANGE ACCEPTED Bin dabei,wann genau machen wir noch aus",0,0,0,2,19,13,19,15
negative,@Enormous_Penis Leider schlecht geshoppt:(,0,0,0,1,4,4,3,3
neutral,"@Enormous_Penis präzisiere bitte, schön rasiert, schön frisiert oder was???",0,0,0,1,9,5,5,9
positive,@Enormous_Penis sei doch mal locker... Da war Ironie im Spiel. :-P,0,0,0,1,11,8,11,8
neutral,@enpleinjour müssen wir die augen offen halten &gt;&lt;,0,0,0,1,8,4,5,8
positive,"@Ente09 dachte, dem würde die Streichelorgie gelten ;)",0,0,0,1,8,4,8,5
neutral,@Ephourita meine nachbar wohnung war mal ein wechsel wohnung 4 monate frei 4 monate nicht .. 4 monate ..,0,0,0,1,19,11,12,19
positive,@Ephourita Scheint so :) hier zwar immer genderentsprechende Aktionen drumrum (Playboy/Prosecco) aber Einlass kein Problem… echt abgefahren,0,0,0,1,17,9,17,10
neutral,@EPichlbauer Wobei Reform ja nicht nur von neoliberaler Seite her möglich ist.,0,0,0,1,12,8,7,12
neutral,"@eric_maechler ehrlich, schwere Entscheidung? #goforkupfi @Swisscom_Care",0,0,1,2,6,1,1,6
neutral,@erin_schloss Boys game,0,0,0,1,3,0,1,3
positive,"@erniiiv geht weird weiter :) dachte, das wäre vllt was, was dir gefallen könnte..",0,0,0,1,14,7,14,10
negative,"@ernst_michalek @derhavas da hast du recht, peinlich, peinlich",0,0,0,2,8,8,3,4
positive,@esapirat Träum romantisch unter einem Himmel voller Geigen ♥,0,0,0,1,9,4,9,6
positive,@etniesoph Guten Morgen! Gemütlich Frühstück u dann los in den Tag:-))),0,0,0,1,11,6,11,8
negative,@eulenmaedchn Von denen wird mir immer schlecht.,0,0,0,1,7,7,6,5
positive,@Eulenposts tztztztz.. xD Spaß!,0,0,0,1,4,1,4,1
neutral,"@eumel59 Oh ja, da kommt was! Hier jetzt auch Regen….",0,0,0,1,10,8,8,10
positive,"@Europolitikus Sie müssen vor allem nicht, wie viele Selbstständige, bis zum Geht nicht mehr arbeiten. ;-)",0,0,0,1,16,14,16,13
positive,@EVidakovich @Y_Titty echt so!! Daumen drücken!!:)),0,0,0,2,6,1,6,3
positive,"@EvidenT229 oh, Entschuldigung.",0,0,0,1,3,0,3,0
negative,@Evo2Me Bedauerlicherweise ja.,0,0,0,1,3,3,1,2
neutral,"@Evo2Me Wusste nicht, dass NK Comic war. Habe ihn in Buchform gelesen. Kam das später?",0,0,0,1,15,8,8,15
neutral,@eWebjojo Right. Drum die Stille. Gleichzeitig: Wer handelt begeht Fehler. Lernen und wieder aufsatteln. Pflicht.,0,0,0,1,15,4,4,15
negative,@examstagram Keinen Bock mehr...,0,0,0,1,4,4,1,3
positive,@exceptbieber lmao ich lach mich schlapp,0,0,0,1,6,3,6,3
positive,@exilSGDfan Nö. Scheint wohl keine Neigetechnik zu sein. ;),0,0,0,1,9,6,9,5
positive,@exoticshadow_88 OMG DAS WÄRE SOOO GEIL ME TOO ganz gut war uni.die haben uns alles wichtige gebäuden gezeigt&amp;grad gym dir sweetiii??,0,0,0,1,21,10,21,10
positive,@f0ndue Wahre Worte! :'),0,0,0,1,4,0,4,1
neutral,"@fabi3550 Achso ;-) Ne, nicht ganz tanzen, ich war mich nur sportlich betätigen ;-) was kommt denn heute schönes im TV?",0,0,0,1,21,14,15,21
negative,"@FabianHamak @HanneloreKraft @peteraltmaier schreibfehler: streiche heiter, setze traurig.",0,0,0,3,8,8,0,2
neutral,@FabianLuvsNina @AmberbeingAmber You're not?,0,0,0,2,4,0,2,4
neutral,"@fabifly41 Piraten, Grüne, Die Partei, dann schon Tierschutz. Weit abgeschlagen letzter: CDU/CSU. Davor Punktgleich: FDP, SPD. #yey",0,0,1,1,17,3,3,17
neutral,@FachriWiguna20 follback ri http://t.co/XhcPvzvn2N,1,1,0,1,4,0,0,4
positive,"@fallen_khaleesi Wir sind garantiert immer da. Also, irgendein Twitterhonk halt ;-) *hugs*",0,0,0,1,12,9,12,7
negative,@Fantasygirl98 Damit machst du dir den Rhythmus dann komplett kaputt.. Versuch mal komplett wach zu (cont) http://t.co/vCXo483NeJ,1,1,0,1,17,17,10,13
positive,"@Fantasygirl98 Super, Danke! Endlich mal jmd ders versteht ;D",0,0,0,1,9,3,9,5
neutral,@Faolin Ähm... Neeee. *Packung unauffällig hinterm Rücken versteck*,0,0,0,1,8,0,0,8
neutral,"@FarbenstadtTobi Ändert ja nichts daran, dass der FC Bayern ihn zurückholen kann, wenn er sich durchsetzt. Und 2 Jahre wird Can brauchen.",0,0,0,1,22,13,15,22
neutral,"@Farbenwunder Wenn ich Ruhe sage, meine ich das auch so. Gerade WILL man mich nicht ertragen.",0,0,0,1,16,10,11,16
neutral,"@Farbenwunder Zuerst der XBox Controller, und danach die Bonbons um den Schmerz zu trösten.",0,0,0,1,14,8,7,14
neutral,@FauziDaughter_ ceh! Untungla demam.,0,0,0,1,4,0,0,4
negative,@FC_Basel was probiert? Seit doch bitte wenigstens realistisch! Nix habt ihr erreicht seit Beginn der Meisterschaft!,0,0,0,1,16,16,10,13
negative,"@FCBayern soll tun,was er für richtig hält Dennoch sei mir erlaubt nicht glücklich zu sein,wenn 2 WM-Spieler verkauft werden #Gomez #Gustavo",0,0,2,1,21,21,14,13
positive,"@federschwarzes Ich erwähne mal nicht, dass des Quietschbeus liebstes Schimpfwort lange ""ZACK!"" war ;)",0,0,0,1,14,8,14,8
neutral,"@fehlpass Europa League wie die NFL spielen lassen ? 32 Teams, x Wochen plus Playoffs ??",0,0,0,1,16,8,9,16
neutral,@feinschmeckerle unbedingt!,0,0,0,1,2,0,0,2
neutral,@Felicea wissenschaftlicher Dünkel?,0,0,0,1,3,0,0,3
neutral,@felipeesk8ordie zzzzZzZzz,0,0,0,1,2,0,0,2
neutral,@felipeheinrich BAITA,0,0,0,1,2,0,0,2
neutral,"@Fentanyl94 @Der_Hagi nix da, keine Zeit zum Streiten, muss hier fertig werden",0,0,0,2,12,9,8,12
positive,@feuertinte Danköööööööö :D ...hoffe ich werd's überleben! ;),0,0,0,1,8,3,8,3
neutral,@FFlauschkatze Der Kürbis kann aber schnell rollen! @KlatschKopp,0,0,0,2,8,5,5,8
negative,@FFlauschkatze sry. kein bock mir extra dafür noch ne neue email addy zu basteln..,0,0,0,1,14,14,9,10
positive,@fhainalex davon bin ich überzeugt! ¤_¤ @Poetepetete,0,0,0,2,7,2,7,4
neutral,@fhainalex oben rechts batterie symbol mit nem kleinen blitz,0,0,0,1,9,3,5,9
positive,@Fiann voll schön!,0,0,0,1,3,1,3,2
positive,"@Fiips_ Natürlich, duuu doch nicht^^",0,0,0,1,5,1,5,2
neutral,@fimbultyr Hm ... was machen wir denn da ...? Über seine Mailadresse vielleicht? Oder schaltet mich einfach wieder an. :),0,0,0,1,20,15,13,20
neutral,@Finn_Clausen @Sky_Jurek Nein das zählt nicht! Weil er zum Zeitpunkt der Deadline einen Verein hatte...,0,0,0,2,15,9,8,15
neutral,@firefighter_HBG Damit nix ruckelt bei den Mediatheken sollte mind. eine 6 Mbit Leitung vorhanden sein,0,0,0,1,15,8,9,15
neutral,@firmenanzeige Egypt Muslim Brotherhood leader held,0,0,0,1,6,0,0,6
positive,@Fischblog Die @terrorzicke offensichtlich nicht.^^,0,0,0,2,5,2,5,3
negative,@Fischblog Keine gute Nachricht.,0,0,0,1,4,4,3,3
positive,@Fischer2485 oje ??????? sieht doch cool aus,0,0,0,1,7,5,7,4
negative,@fischimglas läuft und hat so gut wie keine änderung mitsich gebracht. optisch zumindestl.,0,0,0,1,13,13,7,8
neutral,@FishyRocksYou Ok. Dann nicht.,0,0,0,1,4,4,2,4
negative,"@FishyRocksYou ok. Hab' nur bisschen Kopfweh... Wahrscheinlich, weil Schlafmangel...",0,0,0,1,9,9,5,5
neutral,"@fj_strauss Verzeihung, Eminenz!",0,0,0,1,3,0,0,3
negative,@fkb71 honess bekommt ne sehr hohe gesldstrafe und das max. an bewährung.,0,0,0,1,12,12,6,7
neutral,"@Flachmannfrau ok. Bin jetzt dann hernach gleich nochmal weg, aber schreib ruhig.",0,0,0,1,12,7,7,12
positive,@flargh @fletchen Glückwunsch!!!,0,0,0,2,3,0,3,0
positive,@flaschlight kale chips= life,0,0,0,1,4,0,4,1
negative,@FLASHZENTAURI warum das O_O wiesooooo??? sollte ich lieber schreiend weg rennen O_O,0,0,0,1,12,12,6,6
neutral,@FLER hahah sogar mit beko keinen kontakt mehr?,0,0,0,1,8,4,4,8
negative,"@floetentoene @PjotrPetka @Suedelbien Einmal das, obendrein sollten bei solchen verbalen Attacken sollten hater mehr Gegenwind bekommen.",0,0,0,3,16,16,8,6
neutral,@floham In Lautern wars nötig. Nach 39 Spielen.,0,0,0,1,8,3,4,8
neutral,"@florianklenk @iwona_w kinder hörts auf, ihr spielts fast in der selben sandkiste, suchts euch echte ziele -&gt; @Kronenzeitung @Heute_at ....",0,0,0,4,20,8,9,20
positive,"@flotastisch och manno, hättest auch hier im etwas kleinen bett pennen können ;)",0,0,0,1,13,9,13,8
positive,"@flotastisch Wolfsburg, aber danke, hab schon was gefunden",0,0,0,1,8,6,8,6
negative,"@Flubbermaus ach, hände brauch keiner",0,0,0,1,5,5,3,3
neutral,@FoinB hmm ein Foto von dir. Am besten Passfoto oder so &amp; vielleicht etwas was dein Markenzeichen sein könnte,0,0,0,1,19,13,15,19
positive,@followurdream1D followed (:,0,0,0,1,3,1,3,0
positive,@FoReVeR_YuKi16 Wir müssen uns noch so Ringe aus den Automaten holen. . xD,0,0,0,1,13,9,13,9
neutral,"@FR31H31T Wahrscheinlich konnte die Diskette nicht mehr neu beschrieben werden, oder kein Diskettennachschub mehr...",0,0,0,1,14,8,7,14
neutral,"@Fr3z0r Gar nicht, du?",0,0,0,1,4,1,3,4
neutral,@fraances__ weil Erstsemester sehr blauäugig an alles rangehen.,0,0,0,1,8,4,4,8
positive,@fraeuleinoy gut Nacht Träum süß,0,0,0,1,5,2,5,2
neutral,"@FrankBuschmann frei nach Höhner: Wenn nicht jetzt, wann dann?",0,0,0,1,9,6,5,9
positive,@Frankenfeld1 @AnkeJulieMartin @kpeterlKA @nadine_TG @harryliebs @afelia @bieneAline Gut Schabbos aus Berlin =),0,0,0,7,12,3,12,3
negative,"@franky39 hauptsache Aufmerksamkeit kassieren, lächerlicher Journalismus",0,0,0,1,6,6,0,3
positive,@FranzeyNomNom meine Eier sind sehr interessiert,0,0,0,1,6,4,6,4
positive,"@franzizi_ ne. Versuche, mich zu entspannen ^^",0,0,0,1,7,3,7,4
neutral,@franzstrohmeier werde ergänzen,0,0,0,1,3,1,1,3
neutral,"@Frau_Feli Ich sage mal, irgendeiner aus dem Bürgerheim. Junge Frau macht keinen Sinn.",0,0,0,1,13,7,7,13
neutral,@Frau_Horchert seichte Träume!,0,0,0,1,3,0,0,3
neutral,@FrauElo die Mutter und den Rest der Fam meines Besten. Argument valid.,0,0,0,1,12,6,8,12
positive,@frauenarzt war ne sehr krasse party mit euch #props #100mannaufderbühne #bergluft,0,0,3,1,11,5,11,6
positive,"@FrauFlauschig Ich mag ihn auch echt gerne, haste fein gemacht!",0,0,0,1,10,6,10,5
neutral,@FrauKassandra Wunsch angenommen! #DieWünschdirwaspartei,0,0,1,1,4,0,0,4
negative,"@FrauMimimi Meine Mama hat so gewaschen, dass meine komplette farbige Unterwäsche jetzt grau ist.",0,0,0,1,14,14,8,11
negative,@FraumitSerifen Der @___Dagger___ folgt mir auch nicht. Schon 1 Jahr lang nicht. Ich wein fast jeden Tag darob… /cc @LadyofTheDay,0,0,0,3,20,20,15,15
positive,@FrauRadLos nimm doch den Besen und reite los ;-) #hexhex,0,0,1,1,10,6,10,7
negative,"@frazer2 Tja...Aber keiner der Herren #Döring, #Brüderle oder #Rösler kommen mal auf die Idee, mal den #Genscher um Rat zu fragen...#FDP",0,0,5,1,21,21,12,13
positive,@freak_perfume Awww &lt;3 so süß und Chancen los :'D,0,0,0,1,9,5,9,6
neutral,@freaking_polly was sich einmal fest gesetzt hat....,0,0,0,1,7,4,4,7
neutral,"@FrediBobic Gute Nacht! Können Sie erklären, was passiert mit der Unterzeichnung des zaqueiro Vilson SEPalmeiras?",0,0,0,1,15,8,8,15
negative,"@freehippiegirl Arschlöchern in eine Schublade stecken sollen. Ich bin komplett anders, als meine Geschlechtsgenossen.",0,0,0,1,14,14,6,7
positive,@freuerin @michaelhenke sonst schick ich euch eine übers AF ;),0,0,0,2,10,6,10,8
positive,"@friedel1909 :-))) Danke Dir ... tut gut "" zu Haus "" zu sein :-)",0,0,0,1,14,8,14,12
neutral,@Frikadunse Du fährst mir in letzter Zeit eindeutig zu viel Zug. #ivicabahnovic,0,0,1,1,12,7,8,12
positive,@Fritztram bei 40 litern wird wohl ne flasche übrigbleiben ;) (in den nächsten 2 wochen),0,0,0,1,15,9,15,10
neutral,@Frunzel Heute hatten wir auch 34 Grad. Extrem heiss. Neuer Garten? Sounds good!,0,0,0,1,13,6,7,13
positive,@fussballzimmer wachsen jedenfalls nicht😄😄😉,0,0,0,1,4,1,4,2
neutral,"@G_Joshhh Fuckin brilliant Einstein,,",0,0,0,1,4,0,0,4
negative,"@gabrielekuhn ja. und sie tut immer noch so, als ginge uns das Team Stronach was an",0,0,0,1,16,16,14,15
negative,"@gaejawen @radedden @ra_osbahr @stiftungsrecht @verteidigung @rahildebrand @withthelaw @mschafhausen Nein, warum? #DStephan",0,0,1,8,11,11,1,2
neutral,@gagariana: #Piraten in Düsseldorf hängen den Hund! http://t.co/yLTCGRd3GY @Piratenpartei @PiratenNRW,1,1,1,3,9,2,1,9
negative,@GameStandard super Feature hätte eig die 360 mit smartglass damals schon haben müssen so war SG eig voll überflüssig. Schade :. (,0,0,0,1,22,22,13,17
positive,"@GamezGeneration Gerne doch, lieber Tim. :D [Oder wer verwendet noch Janetter bei euch?^^]",0,0,0,1,13,7,13,7
positive,@gastmesse Vielen Dank für´s Folgen meiner Tweets..mehr infos gerne auch unter dem Account unserer Agentur @opensmjle ;-) VG aus Köln,0,0,0,2,20,12,20,15
neutral,@GaudaHead warum meinst du das?,0,0,0,1,5,3,3,5
neutral,"@GazpromFootball presents #s04 line-up: Fährmann, Uchida, Santana, Höwedes, Aogo, Höger, Neustädter, Clemens, Meyer, Draxler, Szalai #FürMax",0,0,2,1,16,1,1,16
positive,@gefasl uh uh. Schick. Türkischer hennaabend?,0,0,0,1,6,1,6,0
